0105604,"['Filion, Peter', 'Kinberg, Jud', 'Lowry, Richard O.', 'McAree, David', 'Robbins, Lance H.', 'Schreckinger, Jinny', 'Turner, Terrence', 'Whitley, Patrick']","['Ohashi, Rene']",NA,NA
1167655,"['Daves, Scott', 'Hernandez, Jesse', 'Lurie, Marty', 'Marquez, David']",NA,NA,NA
1991205,NA,"['West, Alfred J.']",NA,NA
0142282,"['Lantz, Walter']",NA,NA,NA
1314834,"['Carrera, Daniel Eduvijes', 'Cruz, Carlos I.']","['Simmons, John']",NA,NA
0419226,NA,NA,NA,NA
0323052,NA,NA,NA,NA
0262209,"['Borda, Al']",NA,NA,NA
1460784,NA,NA,NA,NA
0259847,"['Luxardo, Libero', 'Wulfes, Alexandre']","['Wulfes, Alexandre']",NA,NA
0343751,NA,NA,NA,NA
0431855,NA,NA,NA,NA
0477655,NA,NA,NA,NA
0374829,NA,NA,NA,NA
0049224,"['Milinaire, Nicole', 'Padovano, John', 'Reynolds, Sheldon']","['Palmgren, Bertil']",NA,NA
0111711,"['Curtis, Bruce Cohn', 'Lotfi, Jim', 'Samples, Keith']","['Smith, Doyle']",NA,NA
0038997,NA,"['Vidal, Armando']",NA,NA
0212091,"['Gul, S.A.']",NA,NA,NA
0444611,NA,"['Lande, Kurt']",NA,NA
0201848,NA,NA,NA,NA
0775446,NA,NA,NA,NA
1824973,"['Abraham, Shaira', 'Abraham, Shaira']","['Gallegos, Andr\xc3\xa9s']",NA,NA
1195473,"['Brogren, Stefan', 'Lowe, David', 'Stohn, Stephen', 'Williams, Stephanie']",NA,NA,NA
1017433,"['Check, David', 'Gavant, David']",NA,NA,NA
0271380,NA,NA,NA,NA
0155566,"['Maloney, Tim']","['Satrazemis, Michael E.']",NA,NA
1117627,NA,NA,NA,NA
1556175,NA,NA,NA,NA
0083767,"['Hassanein, Salah M.', 'Rubinstein, Richard P.', 'Vogel, David E.']","['Gornick, Michael']",NA,NA
0045907,"['Aguirre, J. Ram\xc3\xb3n', 'Alba, Armando Orive', 'la Serna, Mauricio de']","['Solares, Ra\xc3\xbal Mart\xc3\xadnez']",NA,NA
0145772,NA,NA,NA,NA
0344364,"['Schwalb, Ben']",NA,NA,NA
0218699,NA,"['Brun, Philippe']",NA,NA
1826843,"['Galvin, Liam', 'Rowland, Yvette']","['Galvin, Liam']",NA,NA
0002511,NA,"['Gaspar, Jos\xc3\xa9']",NA,NA
0364009,"['Megapanos, Kostas']","['Maragoudaki, Katerina']",NA,NA
0336113,"['Selig, William Nicholas']",NA,NA,NA
0307400,"['Roud\xc3\xa8s, Gaston']","['Br\xc3\xa9s, Albert']",NA,NA
1213577,"['Blades, Hayden', 'Blades, Sayre', 'Krystek, Stephen', 'Matteson, David', ""O'Connell, Marla""]","['Matteson, David']",NA,NA
0233199,NA,"['Pearce, Richard']",NA,NA
1051865,NA,NA,NA,NA
1201041,NA,"['Aloisi, Francesco']",NA,NA
0283506,"['Bueno, Lincoln', 'Nascimento, D\xc3\xa9cio Garcia']","['Moreiras, A.J.']",NA,NA
0920810,NA,NA,NA,NA
0105873,"['Czernetsky, Gunther', 'von Hahn, Axel']","['Joan, Paco']",NA,NA
0881232,NA,"['Hercigonja, Ivan']",NA,NA
0230370,NA,NA,NA,NA
0147136,"['Girard, Wendy']",NA,NA,NA
0065830,"['Guerra, Roberto', 'Hershon, Eila']","['Guerra, Roberto', 'Hershon, Eila']",NA,NA
0058945,"['Chojnacki, Tadeusz']","['Konrad, Kazimierz']",NA,NA
1377601,"[""O'Neill, Kevin""]","['Hegarty, Seamus']",NA,NA
1714729,NA,NA,NA,NA
0043365,"['Selzer, Edward']",NA,NA,NA
0107893,NA,"['Lenczewski, Ryszard']",NA,NA
0389821,"['de Homs, Juan']","['de Homs, Juan']",NA,NA
1754111,NA,NA,NA,NA
0774103,"['Radclyffe, Sarah']",NA,NA,NA
1429366,NA,NA,NA,NA
0171320,NA,"['Artigot, Ra\xc3\xbal']",NA,NA
0263043,NA,"['De Bruyne, Etienne']",NA,NA
0483983,"['Badin, Celso']","['Lima, Batista']",NA,NA
0032364,"['Finney, Edward']","['Picard, Marcel Le']",NA,NA
0317383,"['Bozzetto, Bruno']","['Magni, Ugo']",NA,NA
0129511,"['Amati, Maurizio', 'De Laurentiis, Aurelio', 'De Laurentiis, Luigi']","['Salvati, Sergio']",NA,NA
0469910,"['Lebow, Peter', 'Papert, Charles', 'Sylvain, John']","['Polack, Ryan']",NA,NA
1032184,NA,NA,NA,NA
1966524,"['Voges, Holly']","['White, Lynelle']",NA,NA
1285228,"['Lahouassa, Farid', 'Nora, Anouk', 'Penot, Denis', 'Polveroni, G\xc3\xa9raldine']","['Dreujou, Jean-Marie']",NA,NA
0257660,"['Smart, David']",NA,NA,NA
